Name,Conference,Year,Wins,Losess,W/L%,GB,PS/G,PA/G,SRS
Toronto Raptors,E,2018,59,23,0.720,0.0,111.7,103.9,7.29
Boston Celtics,E,2018,55,27,0.671,4.0,104.0,100.4,3.23
Philadelphia 76ers,E,2018,52,30,0.634,7.0,109.8,105.3,4.30
Cleveland Cavaliers,E,2018,50,32,0.610,9.0,110.9,109.9,0.59
Indiana Pacers,E,2018,48,34,0.585,11.0,105.6,104.2,1.18
Miami Heat,E,2018,44,38,0.537,15.0,103.4,102.9,0.15
Milwaukee Bucks,E,2018,44,38,0.537,15.0,106.5,106.8,-0.45
Washington Wizards,E,2018,43,39,0.524,16.0,106.6,106.0,0.53
Detroit Pistons,E,2018,39,43,0.476,20.0,103.8,103.9,-0.26
Charlotte Hornets,E,2018,36,46,0.439,23.0,108.2,108.0,0.07
New York Knicks,E,2018,29,53,0.354,30.0,104.5,108.0,-3.53
Brooklyn Nets,E,2018,28,54,0.341,31.0,106.6,110.3,-3.67
Chicago Bulls,E,2018,27,55,0.329,32.0,102.9,110.0,-6.84
Orlando Magic,E,2018,25,57,0.305,34.0,103.4,108.2,-4.92
Atlanta Hawks,E,2018,24,58,0.293,35.0,103.4,108.8,-5.30
Houston Rockets,W,2018,65,17,0.793,0.0,112.4,103.9,8.21
Golden State Warriors,W,2018,58,24,0.707,7.0,113.5,107.5,5.79
Portland Trail Blazers,W,2018,49,33,0.598,16.0,105.6,103.0,2.60
Oklahoma City Thunder,W,2018,48,34,0.585,17.0,107.9,104.4,3.42
Utah Jazz,W,2018,48,34,0.585,17.0,104.1,99.8,4.47
New Orleans Pelicans,W,2018,48,34,0.585,17.0,111.7,110.4,1.48
San Antonio Spurs,W,2018,47,35,0.573,18.0,102.7,99.8,2.89
Minnesota Timberwolves,W,2018,47,35,0.573,18.0,109.5,107.3,2.35
Denver Nuggets,W,2018,46,36,0.561,19.0,110.0,108.5,1.57
Los Angeles Clippers,W,2018,42,40,0.512,23.0,109.0,109.0,0.15
Los Angeles Lakers,W,2018,35,47,0.427,30.0,108.1,109.6,-1.44
Sacramento Kings,W,2018,27,55,0.329,38.0,98.8,105.8,-6.60
Dallas Mavericks,W,2018,24,58,0.293,41.0,102.3,105.4,-2.70
Memphis Grizzlies,W,2018,22,60,0.268,43.0,99.3,105.5,-5.81
Phoenix Suns,W,2018,21,61,0.256,44.0,103.9,113.3,-8.80
