Name,Conference,Year,Wins,Losess,W/L%,GB,PS/G,PA/G,SRS
Cleveland Cavaliers,E,2016,57,25,0.695,0.0,104.3,98.3,5.45
Toronto Raptors,E,2016,56,26,0.683,1.0,102.7,98.2,4.08
Miami Heat,E,2016,48,34,0.585,9.0,100.0,98.4,1.50
Atlanta Hawks,E,2016,48,34,0.585,9.0,102.8,99.2,3.49
Boston Celtics,E,2016,48,34,0.585,9.0,105.7,102.5,2.84
Charlotte Hornets,E,2016,48,34,0.585,9.0,103.4,100.7,2.36
Indiana Pacers,E,2016,45,37,0.549,12.0,102.2,100.5,1.62
Detroit Pistons,E,2016,44,38,0.537,13.0,102.0,101.4,0.43
Chicago Bulls,E,2016,42,40,0.512,15.0,101.6,103.1,-1.46
Washington Wizards,E,2016,41,41,0.500,16.0,104.1,104.6,-0.50
Orlando Magic,E,2016,35,47,0.427,22.0,102.1,103.7,-1.68
Milwaukee Bucks,E,2016,33,49,0.402,24.0,99.0,103.2,-3.98
New York Knicks,E,2016,32,50,0.390,25.0,98.4,101.1,-2.74
Brooklyn Nets,E,2016,21,61,0.256,36.0,98.6,106.0,-7.12
Philadelphia 76ers,E,2016,10,72,0.122,47.0,97.4,107.6,-9.92
Golden State Warriors,W,2016,73,9,0.890,0.0,114.9,104.1,10.38
San Antonio Spurs,W,2016,67,15,0.817,6.0,103.5,92.9,10.28
Oklahoma City Thunder,W,2016,55,27,0.671,18.0,110.2,102.9,7.09
Los Angeles Clippers,W,2016,53,29,0.646,20.0,104.5,100.2,4.13
Portland Trail Blazers,W,2016,44,38,0.537,29.0,105.1,104.3,0.98
Dallas Mavericks,W,2016,42,40,0.512,31.0,102.3,102.6,-0.02
Memphis Grizzlies,W,2016,42,40,0.512,31.0,99.1,101.3,-2.14
Houston Rockets,W,2016,41,41,0.500,32.0,106.5,106.4,0.34
Utah Jazz,W,2016,40,42,0.488,33.0,97.7,95.9,1.84
Sacramento Kings,W,2016,33,49,0.402,40.0,106.6,109.1,-2.32
Denver Nuggets,W,2016,33,49,0.402,40.0,101.9,105.0,-2.81
New Orleans Pelicans,W,2016,30,52,0.366,43.0,102.7,106.5,-3.56
Minnesota Timberwolves,W,2016,29,53,0.354,44.0,102.4,106.0,-3.38
Phoenix Suns,W,2016,23,59,0.280,50.0,100.9,107.5,-6.32
Los Angeles Lakers,W,2016,17,65,0.207,56.0,97.3,106.9,-8.92
