Player,Year,Age,Team,FirstPlace,PtsWon,PtsMax,%,GP,MP,PTS,TRP,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Joakim Noah,2014,28,CHI,100.0,555.0,625,0.888,80,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0.000,0.737,11.2,0.190
Roy Hibbert,2014,27,IND,8.0,166.0,625,0.266,81,29.7,10.8,6.6,1.1,0.4,2.2,0.439,0.400,0.770,5.4,0.108
DeAndre Jordan,2014,25,LAC,8.0,121.0,625,0.194,82,35.0,10.4,13.6,0.9,1.0,2.5,0.676,0.0,0.428,11.1,0.186
Serge Ibaka,2014,24,OKC,2.0,79.0,625,0.126,81,32.9,15.1,8.8,1.0,0.5,2.7,0.536,0.383,0.784,9.6,0.173
Andre Iguodala,2014,30,GSW,1.0,47.0,625,0.075,63,32.4,9.3,4.7,4.2,1.5,0.3,0.480,0.354,0.652,5.8,0.135
LeBron James,2014,29,MIA,2.0,31.0,625,0.050,77,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.750,15.9,0.264
Paul George,2014,23,IND,0.0,30.0,625,0.048,80,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178
Anthony Davis,2014,20,NOP,1.0,25.0,625,0.040,67,35.2,20.8,10.0,1.6,1.3,2.8,0.519,0.222,0.791,10.4,0.212
Dwight Howard,2014,28,HOU,1.0,25.0,625,0.040,71,33.7,18.3,12.2,1.8,0.8,1.8,0.591,0.286,0.547,8.0,0.161
Andrew Bogut,2014,29,GSW,1.0,11.0,625,0.018,67,26.4,7.3,10.0,1.7,0.7,1.8,0.627,0.0,0.344,6.5,0.176
Kawhi Leonard,2014,22,SAS,0.0,9.0,625,0.014,66,29.1,12.8,6.2,2.0,1.7,0.8,0.522,0.379,0.802,7.7,0.193
P.J. Tucker,2014,28,PHO,1.0,6.0,625,0.010,81,30.7,9.4,6.5,1.7,1.4,0.3,0.431,0.387,0.776,6.1,0.117
Tim Duncan,2014,37,SAS,0.0,5.0,625,0.008,74,29.2,15.1,9.7,3.0,0.6,1.9,0.490,0.000,0.731,7.4,0.164
Chris Paul,2014,28,LAC,0.0,5.0,625,0.008,62,35.0,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.270
Trevor Ariza,2014,28,WAS,0.0,4.0,625,0.006,77,35.4,14.4,6.2,2.5,1.6,0.3,0.456,0.407,0.772,8.0,0.141
Marc Gasol,2014,29,MEM,0.0,4.0,625,0.006,59,33.4,14.6,7.2,3.6,1.0,1.3,0.473,0.182,0.768,5.6,0.137
Patrick Beverley,2014,25,HOU,0.0,2.0,625,0.003,56,31.3,10.2,3.5,2.7,1.4,0.4,0.414,0.361,0.814,4.2,0.116
