Player,Year,Age,Team,FirstPlace,PtsWon,PtsMax,%,GP,MP,PTS,TRP,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Marc Gasol,2013,28,MEM,30.0,212.0,605,0.350,80,35.0,14.1,7.8,4.0,1.0,1.7,0.494,0.071,0.848,11.5,0.197
LeBron James,2013,28,MIA,18.0,149.0,605,0.246,76,37.9,26.8,8.0,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322
Serge Ibaka,2013,23,OKC,14.0,122.0,605,0.202,80,31.1,13.2,7.7,0.5,0.4,3.0,0.573,0.351,0.749,9.4,0.181
Joakim Noah,2013,27,CHI,13.0,107.0,605,0.177,66,36.8,11.9,11.1,4.0,1.2,2.1,0.481,0.000,0.751,7.3,0.145
Tony Allen,2013,31,MEM,9.0,102.0,605,0.169,79,26.7,8.9,4.6,1.2,1.5,0.6,0.445,0.125,0.717,5.1,0.115
Tim Duncan,2013,36,SAS,11.0,94.0,605,0.155,69,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191
Larry Sanders,2013,24,MIL,4.0,90.0,605,0.149,71,27.3,9.8,9.5,1.2,0.7,2.8,0.506,0.000,0.618,6.0,0.149
Paul George,2013,22,IND,8.0,57.0,605,0.094,79,37.6,17.4,7.6,4.1,1.8,0.6,0.419,0.362,0.807,9.0,0.145
Andre Iguodala,2013,29,DEN,5.0,43.0,605,0.071,80,34.7,13.0,5.3,5.4,1.7,0.7,0.451,0.317,0.574,5.6,0.097
Roy Hibbert,2013,26,IND,3.0,36.0,605,0.060,79,28.7,11.9,8.3,1.4,0.5,2.6,0.448,0.250,0.741,6.1,0.129
Chris Paul,2013,27,LAC,2.0,19.0,605,0.031,70,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287
Avery Bradley,2013,22,BOS,2.0,15.0,605,0.025,50,28.7,9.2,2.2,2.1,1.3,0.4,0.402,0.317,0.755,0.4,0.012
Tyson Chandler,2013,30,NYK,0.0,11.0,605,0.018,66,32.8,10.4,10.7,0.9,0.6,1.1,0.638,0.0,0.694,9.3,0.207
Dwight Howard,2013,27,LAL,1.0,9.0,605,0.015,76,35.8,17.1,12.4,1.4,1.1,2.4,0.578,0.167,0.492,7.6,0.134
Luol Deng,2013,27,CHI,1.0,6.0,605,0.010,75,38.7,16.5,6.3,3.0,1.1,0.4,0.426,0.322,0.816,6.3,0.105
Dwyane Wade,2013,31,MIA,0.0,4.0,605,0.007,69,34.7,21.2,5.0,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192
Trevor Ariza,2013,27,WAS,0.0,3.0,605,0.005,56,26.3,9.5,4.8,2.0,1.3,0.4,0.417,0.364,0.821,3.1,0.102
Jimmy Butler,2013,23,CHI,0.0,3.0,605,0.005,82,26.0,8.6,4.0,1.4,1.0,0.4,0.467,0.381,0.803,7.0,0.158
Kenneth Faried,2013,23,DEN,0.0,3.0,605,0.005,80,28.1,11.5,9.2,1.0,1.0,1.0,0.552,0.0,0.613,7.8,0.167
Russell Westbrook,2013,24,OKC,0.0,3.0,605,0.005,82,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.800,11.6,0.195
Mike Conley,2013,25,MEM,0.0,1.0,605,0.002,80,34.5,14.6,2.8,6.1,2.2,0.3,0.440,0.362,0.830,9.9,0.172
