Player,Year,Age,Team,FirstPlace,PtsWon,PtsMax,%,GP,MP,PTS,TRP,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Dwight Howard,2010,24,ORL,110.0,576.0,610,0.944,82,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0.000,0.592,13.2,0.223
Josh Smith,2010,24,ATL,3.0,136.0,610,0.223,81,35.4,15.7,8.7,4.2,1.6,2.1,0.505,0.000,0.618,9.3,0.155
Gerald Wallace,2010,27,CHA,1.0,113.0,610,0.185,76,41.0,18.2,10.0,2.1,1.5,1.1,0.484,0.371,0.776,11.5,0.177
LeBron James,2010,25,CLE,4.0,61.0,610,0.100,76,39.0,29.7,7.3,8.6,1.6,1.0,0.503,0.333,0.767,18.5,0.299
Rajon Rondo,2010,23,BOS,1.0,55.0,610,0.090,81,36.6,13.7,4.4,9.8,2.3,0.1,0.508,0.213,0.621,9.6,0.156
Metta World Peace,2010,30,LAL,0.0,29.0,610,0.048,77,33.8,11.0,4.3,3.0,1.4,0.3,0.414,0.355,0.688,5.3,0.098
Andrew Bogut,2010,25,MIL,1.0,23.0,610,0.038,69,32.3,15.9,10.2,1.8,0.6,2.5,0.520,0.000,0.629,7.5,0.161
Thabo Sefolosha,2010,25,OKC,2.0,20.0,610,0.033,82,28.6,6.0,4.7,1.8,1.2,0.6,0.440,0.313,0.674,4.0,0.082
Anderson Varejão,2010,27,CLE,0.0,18.0,610,0.030,76,28.5,8.6,7.6,1.1,0.9,0.9,0.572,0.200,0.663,8.1,0.179
Marcus Camby,2010,35,TOT,0.0,13.0,610,0.021,74,31.3,7.5,11.8,2.5,1.3,2.0,0.475,0.286,0.639,6.8,0.142
Dwyane Wade,2010,28,MIA,0.0,13.0,610,0.021,77,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.300,0.761,13.0,0.224
Kobe Bryant,2010,31,LAL,0.0,9.0,610,0.015,73,38.8,27.0,5.4,5.0,1.5,0.3,0.456,0.329,0.811,9.4,0.160
Shawn Marion,2010,31,DAL,0.0,8.0,610,0.013,75,31.8,12.0,6.4,1.4,0.9,0.8,0.508,0.158,0.755,5.0,0.100
Tim Duncan,2010,33,SAS,0.0,7.0,610,0.011,78,31.3,17.9,10.1,3.2,0.6,1.5,0.518,0.182,0.725,10.9,0.215
Shane Battier,2010,31,HOU,0.0,5.0,610,0.008,67,32.4,8.0,4.7,2.4,0.8,1.1,0.398,0.362,0.726,4.3,0.095
Andrei Kirilenko,2010,28,UTA,0.0,4.0,610,0.007,58,29.0,11.9,4.6,2.7,1.4,1.2,0.506,0.292,0.744,6.0,0.171
Arron Afflalo,2010,24,DEN,0.0,1.0,610,0.002,82,27.1,8.8,3.1,1.7,0.6,0.4,0.465,0.434,0.735,4.3,0.092
Matt Barnes,2010,29,ORL,0.0,1.0,610,0.002,81,25.9,8.8,5.5,1.7,0.7,0.4,0.487,0.319,0.740,5.9,0.135
Brendan Haywood,2010,30,TOT,0.0,1.0,610,0.002,77,30.6,9.1,9.3,0.6,0.3,2.1,0.562,0.000,0.620,6.7,0.137
David Lee,2010,26,NYK,0.0,1.0,610,0.002,81,37.3,20.2,11.7,3.6,1.0,0.5,0.545,0.000,0.812,10.3,0.163
Kenyon Martin,2010,32,DEN,0.0,1.0,610,0.002,58,34.2,11.5,9.4,1.9,1.2,1.1,0.456,0.276,0.557,3.3,0.079
Luc Mbah a Moute,2010,23,MIL,0.0,1.0,610,0.002,73,25.6,6.2,5.5,1.1,0.8,0.5,0.480,0.353,0.699,4.7,0.122
Kendrick Perkins,2010,25,BOS,0.0,1.0,610,0.002,78,27.6,10.1,7.6,1.0,0.3,1.7,0.602,0.000,0.582,5.2,0.117
Ben Wallace,2010,35,DET,0.0,1.0,610,0.002,69,28.6,5.5,8.7,1.5,1.2,1.2,0.541,0.000,0.406,4.7,0.115
