Player,Year,Age,Team,FirstPlace,PtsWon,PtsMax,%,GP,MP,PTS,TRP,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Kawhi Leonard,2015,23,SAS,37.0,333.0,645,0.516,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204
Draymond Green,2015,24,GSW,45.0,317.0,645,0.491,79,31.5,11.7,8.2,3.7,1.6,1.3,0.443,0.337,0.660,8.5,0.163
DeAndre Jordan,2015,26,LAC,32.0,261.0,645,0.405,82,34.4,11.5,15.0,0.7,1.0,2.2,0.710,0.250,0.397,12.8,0.217
Anthony Davis,2015,21,NOP,11.0,107.0,645,0.166,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14.0,0.274
Rudy Gobert,2015,22,UTA,2.0,33.0,645,0.051,82,26.3,8.4,9.5,1.3,0.8,2.3,0.604,0.000,0.623,9.3,0.206
Andrew Bogut,2015,30,GSW,0.0,31.0,645,0.048,67,23.6,6.3,8.1,2.7,0.6,1.7,0.563,0.0,0.524,5.2,0.159
Tony Allen,2015,33,MEM,1.0,29.0,645,0.045,63,26.2,8.6,4.4,1.4,2.0,0.5,0.495,0.345,0.627,4.1,0.119
Tim Duncan,2015,38,SAS,1.0,12.0,645,0.019,77,28.9,13.9,9.1,3.0,0.8,2.0,0.512,0.286,0.740,9.6,0.207
Michael Kidd-Gilchrist,2015,21,CHO,0.0,9.0,645,0.014,55,28.9,10.9,7.6,1.4,0.5,0.7,0.465,0.0,0.701,3.8,0.114
Jimmy Butler,2015,25,CHI,0.0,7.0,645,0.011,65,38.7,20.0,5.8,3.3,1.8,0.6,0.462,0.378,0.834,11.2,0.214
Marc Gasol,2015,30,MEM,0.0,7.0,645,0.011,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182
Joakim Noah,2015,29,CHI,0.0,4.0,645,0.006,67,30.6,7.2,9.6,4.7,0.7,1.1,0.445,0.000,0.603,5.6,0.130
Trevor Ariza,2015,29,HOU,0.0,3.0,645,0.005,82,35.7,12.8,5.6,2.5,1.9,0.2,0.402,0.350,0.853,6.6,0.108
LeBron James,2015,30,CLE,0.0,3.0,645,0.005,69,36.1,25.3,6.0,7.4,1.6,0.7,0.488,0.354,0.710,10.4,0.199
Patrick Beverley,2015,26,HOU,0.0,1.0,645,0.002,56,30.8,10.1,4.2,3.4,1.1,0.4,0.383,0.356,0.750,3.5,0.096
DeMarre Carroll,2015,28,ATL,0.0,1.0,645,0.002,70,31.3,12.6,5.3,1.7,1.3,0.2,0.487,0.395,0.702,7.0,0.154
Nerlens Noel,2015,20,PHI,0.0,1.0,645,0.002,75,30.8,9.9,8.1,1.7,1.8,1.9,0.462,0.0,0.609,4.0,0.083
Chris Paul,2015,29,LAC,0.0,1.0,645,0.002,82,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.900,16.1,0.270
Hassan Whiteside,2015,25,MIA,0.0,1.0,645,0.002,48,23.8,11.8,10.0,0.1,0.6,2.6,0.628,0.0,0.500,5.3,0.221
