Player,Year,Age,Team,FirstPlace,PtsWon,PtsMax,%,GP,MP,PTS,TRP,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Dwight Howard,2011,25,ORL,114.0,585.0,600,0.975,78,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0.000,0.596,14.4,0.235
Kevin Garnett,2011,34,BOS,1.0,77.0,600,0.128,71,31.3,14.9,8.9,2.4,1.3,0.8,0.528,0.200,0.862,9.0,0.194
Tyson Chandler,2011,28,DAL,0.0,70.0,600,0.117,74,27.8,10.1,9.4,0.4,0.5,1.1,0.654,0.0,0.732,9.4,0.218
Tony Allen,2011,29,MEM,0.0,53.0,600,0.088,72,20.8,8.9,2.7,1.4,1.8,0.6,0.510,0.174,0.753,4.7,0.152
Rajon Rondo,2011,24,BOS,0.0,45.0,600,0.075,68,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126
Andrew Bogut,2011,26,MIL,0.0,32.0,600,0.053,65,35.3,12.8,11.1,2.0,0.7,2.6,0.495,0.000,0.442,5.4,0.112
Grant Hill,2011,38,PHO,1.0,30.0,600,0.050,80,30.1,13.2,4.2,2.5,0.8,0.4,0.484,0.395,0.829,4.4,0.087
Andre Iguodala,2011,27,PHI,0.0,29.0,600,0.048,67,36.9,14.1,5.8,6.3,1.5,0.6,0.445,0.337,0.693,6.7,0.130
LeBron James,2011,26,MIA,0.0,25.0,600,0.042,79,38.8,26.7,7.5,7.0,1.6,0.6,0.510,0.330,0.759,15.6,0.244
Luol Deng,2011,25,CHI,0.0,24.0,600,0.040,82,39.1,17.4,5.8,2.8,1.0,0.6,0.460,0.345,0.753,9.9,0.149
Kobe Bryant,2011,32,LAL,0.0,18.0,600,0.030,82,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178
Chuck Hayes,2011,27,HOU,2.0,13.0,600,0.022,74,28.1,7.9,8.1,2.7,1.1,0.7,0.527,0.000,0.662,6.3,0.146
Chris Paul,2011,25,NOH,0.0,13.0,600,0.022,80,36.0,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232
Serge Ibaka,2011,21,OKC,0.0,12.0,600,0.020,82,27.0,9.9,7.6,0.3,0.4,2.4,0.543,0.000,0.750,7.6,0.164
Joakim Noah,2011,25,CHI,1.0,11.0,600,0.018,48,32.8,11.7,10.4,2.2,1.0,1.5,0.525,0.000,0.739,6.7,0.205
Dwyane Wade,2011,29,MIA,0.0,8.0,600,0.013,76,37.1,25.5,6.4,4.6,1.5,1.1,0.500,0.306,0.758,12.8,0.218
Tim Duncan,2011,34,SAS,0.0,7.0,600,0.012,76,28.4,13.4,8.9,2.7,0.7,1.9,0.500,0.000,0.716,7.7,0.171
Metta World Peace,2011,31,LAL,0.0,6.0,600,0.010,82,29.4,8.5,3.3,2.1,1.5,0.4,0.397,0.356,0.676,4.4,0.088
Keith Bogans,2011,30,CHI,1.0,5.0,600,0.008,82,17.8,4.4,1.8,1.2,0.5,0.1,0.404,0.380,0.656,3.6,0.118
JaVale McGee,2011,23,WAS,0.0,5.0,600,0.008,79,27.8,10.1,8.0,0.5,0.5,2.4,0.550,0.000,0.583,5.3,0.115
Thabo Sefolosha,2011,26,OKC,0.0,4.0,600,0.007,79,25.9,5.1,4.4,1.4,1.2,0.5,0.471,0.275,0.747,4.1,0.097
Andrew Bynum,2011,23,LAL,0.0,3.0,600,0.005,54,27.8,11.3,9.4,1.4,0.4,2.0,0.574,0.0,0.660,6.6,0.210
Kenyon Martin,2011,33,DEN,0.0,2.0,600,0.003,48,25.7,8.6,6.2,2.3,0.9,0.7,0.511,0.222,0.583,2.7,0.104
Gerald Wallace,2011,28,TOT,0.0,2.0,600,0.003,71,37.9,15.7,8.0,2.4,1.5,0.9,0.454,0.333,0.746,6.2,0.111
Josh Smith,2011,25,ATL,0.0,1.0,600,0.002,77,34.4,16.5,8.5,3.3,1.3,1.6,0.477,0.331,0.725,6.4,0.116
