Player,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Karl Malone,1999-00,36,UTA,NBA,PF,82,82,35.9,9.2,18.0,.509,0.0,0.1,.250,9.1,17.9,.511,.510,7.2,9.0,.797,2.1,7.4,9.5,3.7,1.0,0.9,2.8,2.8,25.5,27.1,.582,.005,.501,7.1,24.7,16.1,20.9,1.4,1.9,11.4,31.9,10.7,4.5,15.3,.249,6.4,1.1,7.5,7.1
Grant Hill,1999-00,27,DET,NBA,SF,74,74,37.5,9.4,19.2,.489,0.5,1.3,.347,8.9,17.9,.500,.501,6.5,8.2,.795,1.3,5.3,6.6,5.2,1.4,0.6,3.2,2.6,25.8,24.5,.565,.069,.425,4.1,16.4,10.2,26.8,1.9,1.1,12.4,30.5,8.1,2.6,10.7,.185,5.4,0.1,5.4,5.2
Shaquille O'Neal,1999-00,27,LAL,NBA,C,79,79,40.0,12.1,21.1,.574,0.0,0.0,.000,12.1,21.1,.575,.574,5.5,10.4,.524,4.3,9.4,13.6,3.8,0.5,3.0,2.8,3.2,29.7,30.6,.578,.001,.495,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,11.7,7.0,18.6,.283,7.3,2.0,9.3,9.0
Michael Finley,1999-00,26,DAL,NBA,SF,82,82,42.2,9.1,20.0,.457,1.2,3.0,.401,7.9,16.9,.467,.487,3.2,3.9,.820,1.5,4.8,6.3,5.3,1.3,0.4,2.4,2.1,22.6,19.2,.522,.151,.194,3.8,12.2,8.0,21.3,1.6,0.6,9.9,25.1,6.4,1.9,8.3,.114,3.0,-0.9,2.1,3.6
Kendall Gill,1999-00,31,NJN,NBA,SF,76,75,31.0,5.2,12.6,.414,0.3,1.0,.256,4.9,11.6,.428,.425,2.4,3.4,.710,1.1,2.6,3.7,2.8,1.8,0.5,1.2,2.8,13.1,15.2,.465,.082,.267,3.7,9.8,6.7,15.3,3.1,1.2,7.7,21.9,1.6,2.1,3.7,.076,-0.7,0.7,0.0,1.2
Jalen Rose,1999-00,27,IND,NBA,SF,80,80,37.2,7.0,15.0,.471,1.0,2.5,.393,6.1,12.5,.486,.503,3.2,3.8,.827,0.5,4.3,4.8,4.0,1.1,0.6,2.4,2.9,18.2,16.7,.547,.164,.257,1.6,12.5,7.3,18.4,1.5,1.1,12.4,23.2,4.4,2.9,7.3,.118,1.2,0.2,1.4,2.5
Reggie Miller,1999-00,34,IND,NBA,SG,81,81,36.9,5.8,12.9,.448,2.0,5.0,.408,3.7,7.9,.473,.527,4.6,5.0,.919,0.6,2.3,3.0,2.3,1.0,0.3,1.6,1.6,18.1,17.3,.603,.388,.390,2.0,6.8,4.5,10.2,1.5,0.6,9.6,20.5,8.0,2.0,10.1,.162,3.0,-0.3,2.7,3.6
Scottie Pippen,1999-00,34,POR,NBA,SF,82,82,33.5,4.7,10.5,.451,1.0,3.2,.327,3.7,7.3,.506,.501,2.0,2.7,.717,1.4,4.9,6.3,5.0,1.4,0.5,2.5,2.5,12.5,16.4,.533,.306,.259,5.1,16.2,11.0,23.7,2.3,1.1,17.8,19.6,3.4,4.4,7.8,.137,1.9,1.7,3.6,3.9
David Robinson,2000-01,35,SAS,NBA,C,80,80,29.6,5.0,10.3,.486,0.0,0.0,.000,5.0,10.3,.487,.486,4.4,5.9,.747,2.6,6.0,8.6,1.5,1.0,2.5,1.5,2.7,14.4,23.7,.559,.001,.571,10.4,22.0,16.5,8.8,1.8,5.8,10.6,22.8,6.4,5.7,12.1,.246,2.5,2.7,5.2,4.3
Bruce Bowen,2000-01,29,MIA,NBA,SF,82,72,32.7,2.6,7.1,.363,1.3,3.7,.336,1.3,3.3,.394,.452,1.2,2.0,.609,0.5,2.4,3.0,1.6,1.0,0.6,0.9,3.3,7.6,8.1,.478,.528,.277,2.0,8.8,5.4,8.2,1.7,1.5,10.2,13.1,0.5,3.7,4.2,.075,-2.6,1.5,-1.1,0.6
